Unit Serial No : 240-LV0P465-EU
Integration Time : 60 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   10:20:02

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
552.5000      	18099.5475    	1441.00000    
553.0000      	18083.1826    	1394.36365    
553.5000      	18066.8473    	1589.27271    
554.0000      	18050.5415    	1507.18176    
554.5000      	18034.2651    	1466.27271    
555.0000      	18018.0180    	1415.36365    
555.5000      	18001.8002    	1429.18176    
556.0000      	17985.6115    	1391.63635    
556.5000      	17969.4519    	1390.63635    
557.0000      	17953.3214    	1419.27271    
557.5000      	17937.2197    	1451.18176    
558.0000      	17921.1470    	1474.45459    
558.5000      	17905.1030    	1437.09094    
559.0000      	17889.0877    	1476.81824    
559.5000      	17873.1010    	1592.54541    
560.0000      	17857.1429    	1525.36365    
560.5000      	17841.2132    	1476.18176    
561.0000      	17825.3119    	1537.09094    
561.5000      	17809.4390    	1397.81824    
562.0000      	17793.5943    	1518.90906    
562.5000      	17777.7778    	1516.27271    
563.0000      	17761.9893    	1477.54541    
563.5000      	17746.2289    	1418.72729    
564.0000      	17730.4965    	1513.81824    
564.5000      	17714.7919    	1541.18176    
565.0000      	17699.1150    	1434.81824    
565.5000      	17683.4660    	1424.54541    
566.0000      	17667.8445    	1544.36365    
566.5000      	17652.2507    	1468.18176    
567.0000      	17636.6843    	1466.00000    
567.5000      	17621.1454    	1467.63635    
568.0000      	17605.6338    	1494.09094    
568.5000      	17590.1495    	1471.63635    
569.0000      	17574.6924    	1523.36365    
569.5000      	17559.2625    	1519.45459    
570.0000      	17543.8596    	1510.72729    
570.5000      	17528.4838    	1462.54541    
571.0000      	17513.1349    	1556.18176    
571.5000      	17497.8128    	1621.36365    
572.0000      	17482.5175    	1518.45459    
572.5000      	17467.2489    	1673.45459    
573.0000      	17452.0070    	1514.54541    
573.5000      	17436.7916    	1604.45459    
574.0000      	17421.6028    	1554.09094    
574.5000      	17406.4404    	1578.36365    
575.0000      	17391.3043    	1595.90906    
575.5000      	17376.1946    	1574.90906    
576.0000      	17361.1111    	1580.27271    
576.5000      	17346.0538    	1535.18176    
577.0000      	17331.0225    	1532.00000    
577.5000      	17316.0173    	1514.72729    
578.0000      	17301.0381    	1591.09094    
578.5000      	17286.0847    	1547.45459    
579.0000      	17271.1572    	1614.09094    
579.5000      	17256.2554    	1546.90906    
580.0000      	17241.3793    	1816.36365    
580.5000      	17226.5289    	1638.90906    
581.0000      	17211.7040    	1593.54541    
581.5000      	17196.9046    	1510.54541    
582.0000      	17182.1306    	1573.45459    
582.5000      	17167.3820    	1585.63635    
583.0000      	17152.6587    	1512.81824    
583.5000      	17137.9606    	1599.00000    
584.0000      	17123.2877    	1510.27271    
584.5000      	17108.6399    	1502.36365    
585.0000      	17094.0171    	1519.81824    
585.5000      	17079.4193    	1444.00000    
586.0000      	17064.8464    	1530.27271    
586.5000      	17050.2984    	1502.18176    
587.0000      	17035.7751    	1513.18176    
587.5000      	17021.2766    	1534.09094    
