Unit Serial No : 240-LV0P465-EU
Integration Time : 240 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   10:13:18

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
496.0000      	20161.2903    	5244.90918    
496.5000      	20140.9869    	5113.72705    
497.0000      	20120.7243    	4916.36377    
497.5000      	20100.5025    	5208.45459    
498.0000      	20080.3213    	4628.09082    
498.5000      	20060.1805    	4497.36377    
499.0000      	20040.0802    	5081.63623    
499.5000      	20020.0200    	4676.36377    
500.0000      	20000.0000    	4322.27295    
500.5000      	19980.0200    	4393.18164    
501.0000      	19960.0798    	4480.45459    
501.5000      	19940.1795    	4145.63623    
502.0000      	19920.3187    	4303.00000    
502.5000      	19900.4975    	4023.09082    
503.0000      	19880.7157    	3771.72729    
503.5000      	19860.9732    	4004.81812    
504.0000      	19841.2698    	3842.27271    
504.5000      	19821.6056    	4133.27295    
505.0000      	19801.9802    	3899.27271    
505.5000      	19782.3937    	3732.81812    
506.0000      	19762.8458    	3735.72729    
506.5000      	19743.3366    	3415.18188    
507.0000      	19723.8659    	3664.27271    
507.5000      	19704.4335    	3823.18188    
508.0000      	19685.0394    	3864.81812    
508.5000      	19665.6834    	3316.27271    
509.0000      	19646.3654    	3503.27271    
509.5000      	19627.0854    	3892.63647    
510.0000      	19607.8431    	4103.54541    
510.5000      	19588.6386    	3436.54541    
511.0000      	19569.4716    	3301.18188    
511.5000      	19550.3421    	3602.00000    
512.0000      	19531.2500    	3728.81812    
512.5000      	19512.1951    	3021.36353    
513.0000      	19493.1774    	3060.00000    
513.5000      	19474.1967    	3048.09082    
514.0000      	19455.2529    	3238.36353    
514.5000      	19436.3460    	3067.36353    
515.0000      	19417.4757    	2980.63647    
515.5000      	19398.6421    	3361.90918    
516.0000      	19379.8450    	2903.00000    
516.5000      	19361.0842    	3057.54541    
517.0000      	19342.3598    	2860.18188    
517.5000      	19323.6715    	3149.45459    
518.0000      	19305.0193    	2850.63647    
518.5000      	19286.4031    	2727.18188    
519.0000      	19267.8227    	2613.54541    
519.5000      	19249.2782    	2852.18188    
520.0000      	19230.7692    	2860.00000    
520.5000      	19212.2959    	2879.72729    
521.0000      	19193.8580    	2929.72729    
521.5000      	19175.4554    	2743.54541    
522.0000      	19157.0881    	2903.54541    
522.5000      	19138.7560    	2920.00000    
523.0000      	19120.4589    	2957.00000    
523.5000      	19102.1968    	2758.00000    
524.0000      	19083.9695    	2775.45459    
524.5000      	19065.7769    	2716.72729    
525.0000      	19047.6190    	2861.63647    
525.5000      	19029.4957    	2517.54541    
526.0000      	19011.4068    	2517.81812    
526.5000      	18993.3523    	3170.72729    
527.0000      	18975.3321    	2588.72729    
527.5000      	18957.3460    	2262.63647    
528.0000      	18939.3939    	2698.54541    
528.5000      	18921.4759    	2913.54541    
529.0000      	18903.5917    	2638.09082    
529.5000      	18885.7413    	2710.63647    
530.0000      	18867.9245    	2605.00000    
530.5000      	18850.1414    	2446.81812    
531.0000      	18832.3917    	2785.63647    
531.5000      	18814.6754    	2675.54541    
532.0000      	18796.9925    	2779.18188    
532.5000      	18779.3427    	2608.00000    
533.0000      	18761.7261    	2614.90918    
533.5000      	18744.1425    	2482.81812    
534.0000      	18726.5918    	2699.63647    
534.5000      	18709.0739    	2501.36353    
535.0000      	18691.5888    	2910.09082    
535.5000      	18674.1363    	2519.27271    
536.0000      	18656.7164    	2800.00000    
536.5000      	18639.3290    	2529.45459    
537.0000      	18621.9739    	2579.54541    
537.5000      	18604.6512    	2596.45459    
538.0000      	18587.3606    	2547.54541    
538.5000      	18570.1021    	2493.90918    
539.0000      	18552.8757    	2556.36353    
539.5000      	18535.6812    	2704.00000    
540.0000      	18518.5185    	2304.45459    
540.5000      	18501.3876    	2388.63647    
541.0000      	18484.2884    	2672.18188    
541.5000      	18467.2207    	2548.45459    
542.0000      	18450.1845    	2777.54541    
542.5000      	18433.1797    	2329.00000    
543.0000      	18416.2063    	2640.18188    
543.5000      	18399.2640    	2666.72729    
544.0000      	18382.3529    	2456.90918    
544.5000      	18365.4729    	2404.00000    
545.0000      	18348.6239    	2804.54541    
545.5000      	18331.8057    	2578.00000    
546.0000      	18315.0183    	2901.09082    
546.5000      	18298.2617    	2481.90918    
547.0000      	18281.5356    	2516.00000    
547.5000      	18264.8402    	2580.72729    
548.0000      	18248.1752    	2606.36353    
548.5000      	18231.5406    	2383.90918    
