Unit Serial No : 240-LV0P465-EU
Integration Time : 60 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   10:23:23

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
448.0000      	22321.4286    	1517.45459    
448.5000      	22296.5440    	1434.90906    
449.0000      	22271.7149    	1488.90906    
449.5000      	22246.9410    	1586.45459    
450.0000      	22222.2222    	1466.09094    
450.5000      	22197.5583    	1515.45459    
451.0000      	22172.9490    	1522.81824    
451.5000      	22148.3942    	1512.09094    
452.0000      	22123.8938    	1454.36365    
452.5000      	22099.4475    	1434.81824    
453.0000      	22075.0552    	1463.09094    
453.5000      	22050.7166    	1440.09094    
454.0000      	22026.4317    	1412.36365    
454.5000      	22002.2002    	1436.72729    
455.0000      	21978.0220    	1464.45459    
455.5000      	21953.8968    	1498.63635    
456.0000      	21929.8246    	1489.27271    
456.5000      	21905.8050    	1518.27271    
457.0000      	21881.8381    	1593.27271    
457.5000      	21857.9235    	1579.36365    
458.0000      	21834.0611    	1501.45459    
458.5000      	21810.2508    	1427.63635    
459.0000      	21786.4924    	1591.45459    
459.5000      	21762.7856    	1490.81824    
460.0000      	21739.1304    	1534.18176    
460.5000      	21715.5266    	1472.00000    
461.0000      	21691.9740    	1505.27271    
461.5000      	21668.4724    	1596.45459    
462.0000      	21645.0216    	1535.27271    
462.5000      	21621.6216    	1450.45459    
463.0000      	21598.2721    	1512.54541    
463.5000      	21574.9730    	1451.90906    
464.0000      	21551.7241    	1443.27271    
464.5000      	21528.5253    	1503.27271    
465.0000      	21505.3763    	1586.00000    
465.5000      	21482.2771    	1494.00000    
466.0000      	21459.2275    	1805.18176    
466.5000      	21436.2272    	1410.63635    
467.0000      	21413.2762    	1451.72729    
467.5000      	21390.3743    	1548.54541    
468.0000      	21367.5214    	1458.36365    
468.5000      	21344.7172    	1485.27271    
469.0000      	21321.9616    	1602.63635    
469.5000      	21299.2545    	1552.45459    
470.0000      	21276.5957    	1476.81824    
470.5000      	21253.9851    	1581.00000    
471.0000      	21231.4225    	1534.27271    
471.5000      	21208.9077    	1458.63635    
472.0000      	21186.4407    	1404.18176    
472.5000      	21164.0212    	1468.72729    
473.0000      	21141.6490    	1509.45459    
473.5000      	21119.3242    	1458.09094    
474.0000      	21097.0464    	1583.54541    
474.5000      	21074.8156    	1535.00000    
475.0000      	21052.6316    	1401.90906    
475.5000      	21030.4942    	1537.00000    
476.0000      	21008.4034    	1471.72729    
476.5000      	20986.3589    	1495.81824    
477.0000      	20964.3606    	1548.45459    
477.5000      	20942.4084    	1603.63635    
478.0000      	20920.5021    	1625.81824    
478.5000      	20898.6416    	1583.27271    
479.0000      	20876.8267    	1569.09094    
479.5000      	20855.0574    	1574.18176    
480.0000      	20833.3333    	1563.09094    
480.5000      	20811.6545    	1589.54541    
481.0000      	20790.0208    	1651.09094    
481.5000      	20768.4320    	1560.18176    
482.0000      	20746.8880    	1599.90906    
482.5000      	20725.3886    	1730.63635    
483.0000      	20703.9337    	1686.00000    
483.5000      	20682.5233    	1724.90906    
484.0000      	20661.1570    	1733.45459    
484.5000      	20639.8349    	1749.81824    
485.0000      	20618.5567    	1751.27271    
485.5000      	20597.3223    	1834.54541    
