Unit Serial No : 240-LV0P465-EU
Integration Time : 113 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   09:23:29

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
451.0000      	22172.9490    	7786.00000    
451.5000      	22148.3942    	7980.18164    
452.0000      	22123.8938    	7929.54541    
452.5000      	22099.4475    	7896.54541    
453.0000      	22075.0552    	8177.36377    
453.5000      	22050.7166    	8357.63672    
454.0000      	22026.4317    	8603.09082    
454.5000      	22002.2002    	8686.81836    
455.0000      	21978.0220    	8958.54590    
455.5000      	21953.8968    	8913.72754    
456.0000      	21929.8246    	9246.81836    
456.5000      	21905.8050    	9577.90918    
457.0000      	21881.8381    	9787.00000    
457.5000      	21857.9235    	9812.09082    
458.0000      	21834.0611    	10016.09082   
458.5000      	21810.2508    	9754.72754    
459.0000      	21786.4924    	10001.18164   
459.5000      	21762.7856    	9985.09082    
460.0000      	21739.1304    	10254.27246   
460.5000      	21715.5266    	9929.36328    
461.0000      	21691.9740    	10062.63672   
461.5000      	21668.4724    	10036.54590   
462.0000      	21645.0216    	10154.00000   
462.5000      	21621.6216    	10150.00000   
463.0000      	21598.2721    	9804.18164    
463.5000      	21574.9730    	9692.09082    
464.0000      	21551.7241    	9538.63672    
464.5000      	21528.5253    	9773.18164    
465.0000      	21505.3763    	9992.09082    
465.5000      	21482.2771    	9484.81836    
466.0000      	21459.2275    	9942.27246    
466.5000      	21436.2272    	9184.63672    
467.0000      	21413.2762    	9268.81836    
467.5000      	21390.3743    	9275.54590    
468.0000      	21367.5214    	9081.18164    
468.5000      	21344.7172    	8783.00000    
469.0000      	21321.9616    	9104.54590    
469.5000      	21299.2545    	8716.45410    
470.0000      	21276.5957    	8615.09082    
470.5000      	21253.9851    	8695.90918    
471.0000      	21231.4225    	8515.90918    
471.5000      	21208.9077    	7959.27295    
472.0000      	21186.4407    	7804.09082    
472.5000      	21164.0212    	7833.00000    
473.0000      	21141.6490    	7794.45459    
473.5000      	21119.3242    	7401.63623    
474.0000      	21097.0464    	7491.63623    
474.5000      	21074.8156    	7114.63623    
475.0000      	21052.6316    	6731.90918    
475.5000      	21030.4942    	6794.18164    
