Unit Serial No : 240-LV0P465-EU
Integration Time : 249 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   09:28:53

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
466.5000      	21436.2272    	2397.54541    
467.0000      	21413.2762    	2568.36353    
467.5000      	21390.3743    	2913.00000    
468.0000      	21367.5214    	2668.18188    
468.5000      	21344.7172    	2670.45459    
469.0000      	21321.9616    	3102.36353    
469.5000      	21299.2545    	2830.90918    
470.0000      	21276.5957    	2647.09082    
470.5000      	21253.9851    	3020.54541    
471.0000      	21231.4225    	2911.00000    
471.5000      	21208.9077    	2590.54541    
472.0000      	21186.4407    	2509.27271    
472.5000      	21164.0212    	2748.81812    
473.0000      	21141.6490    	2871.72729    
473.5000      	21119.3242    	2734.00000    
474.0000      	21097.0464    	3134.27271    
474.5000      	21074.8156    	2913.09082    
475.0000      	21052.6316    	2606.27271    
475.5000      	21030.4942    	2968.09082    
476.0000      	21008.4034    	2847.81812    
476.5000      	20986.3589    	2912.36353    
477.0000      	20964.3606    	3083.54541    
477.5000      	20942.4084    	3249.27271    
478.0000      	20920.5021    	3310.36353    
478.5000      	20898.6416    	3265.45459    
479.0000      	20876.8267    	3185.72729    
479.5000      	20855.0574    	3197.45459    
480.0000      	20833.3333    	3222.09082    
480.5000      	20811.6545    	3321.81812    
481.0000      	20790.0208    	3459.81812    
481.5000      	20768.4320    	3271.27271    
482.0000      	20746.8880    	3416.63647    
482.5000      	20725.3886    	3794.81812    
483.0000      	20703.9337    	3643.63647    
483.5000      	20682.5233    	3793.63647    
484.0000      	20661.1570    	3850.45459    
484.5000      	20639.8349    	3802.63647    
485.0000      	20618.5567    	3819.18188    
485.5000      	20597.3223    	4142.09082    
486.0000      	20576.1317    	4267.72705    
486.5000      	20554.9846    	3789.36353    
487.0000      	20533.8809    	4078.36353    
487.5000      	20512.8205    	4143.72705    
488.0000      	20491.8033    	4655.09082    
488.5000      	20470.8291    	4231.72705    
489.0000      	20449.8978    	4280.45459    
489.5000      	20429.0092    	4631.63623    
490.0000      	20408.1633    	4699.72705    
490.5000      	20387.3598    	4710.72705    
491.0000      	20366.5988    	4725.00000    
491.5000      	20345.8800    	5093.18164    
492.0000      	20325.2033    	4924.63623    
492.5000      	20304.5685    	4929.81836    
493.0000      	20283.9757    	5480.81836    
493.5000      	20263.4245    	4906.36377    
494.0000      	20242.9150    	5283.54541    
494.5000      	20222.4469    	5505.27295    
495.0000      	20202.0202    	5494.09082    
495.5000      	20181.6347    	5342.72705    
496.0000      	20161.2903    	5731.81836    
496.5000      	20140.9869    	5697.54541    
497.0000      	20120.7243    	5721.36377    
497.5000      	20100.5025    	6162.81836    
498.0000      	20080.3213    	5915.54541    
498.5000      	20060.1805    	5891.72705    
499.0000      	20040.0802    	6561.09082    
499.5000      	20020.0200    	6295.90918    
500.0000      	20000.0000    	6139.18164    
500.5000      	19980.0200    	6361.72705    
501.0000      	19960.0798    	6578.09082    
501.5000      	19940.1795    	6452.54541    
502.0000      	19920.3187    	6619.45459    
502.5000      	19900.4975    	6506.90918    
503.0000      	19880.7157    	6429.45459    
503.5000      	19860.9732    	6665.36377    
504.0000      	19841.2698    	6779.45459    
504.5000      	19821.6056    	7081.18164    
505.0000      	19801.9802    	6943.90918    
505.5000      	19782.3937    	6846.45459    
506.0000      	19762.8458    	6962.36377    
506.5000      	19743.3366    	6793.00000    
507.0000      	19723.8659    	7065.63623    
507.5000      	19704.4335    	7190.63623    
508.0000      	19685.0394    	7277.81836    
508.5000      	19665.6834    	6863.45459    
509.0000      	19646.3654    	7087.81836    
509.5000      	19627.0854    	7403.54541    
510.0000      	19607.8431    	7602.81836    
510.5000      	19588.6386    	7014.54541    
511.0000      	19569.4716    	6933.54541    
511.5000      	19550.3421    	7109.72705    
512.0000      	19531.2500    	7271.54541    
512.5000      	19512.1951    	6612.90918    
513.0000      	19493.1774    	6634.27295    
513.5000      	19474.1967    	6570.09082    
514.0000      	19455.2529    	6620.81836    
514.5000      	19436.3460    	6397.63623    
515.0000      	19417.4757    	6254.72705    
515.5000      	19398.6421    	6573.09082    
516.0000      	19379.8450    	6159.09082    
516.5000      	19361.0842    	6157.54541    
517.0000      	19342.3598    	5920.63623    
517.5000      	19323.6715    	6003.54541    
518.0000      	19305.0193    	5706.00000    
518.5000      	19286.4031    	5552.45459    
519.0000      	19267.8227    	5365.90918    
519.5000      	19249.2782    	5444.36377    
520.0000      	19230.7692    	5284.18164    
520.5000      	19212.2959    	5242.90918    
521.0000      	19193.8580    	5259.81836    
521.5000      	19175.4554    	4953.27295    
522.0000      	19157.0881    	5046.18164    
522.5000      	19138.7560    	4962.45459    
523.0000      	19120.4589    	4879.90918    
523.5000      	19102.1968    	4639.54541    
524.0000      	19083.9695    	4622.00000    
524.5000      	19065.7769    	4489.54541    
525.0000      	19047.6190    	4539.90918    
525.5000      	19029.4957    	4184.27295    
526.0000      	19011.4068    	4119.72705    
526.5000      	18993.3523    	4646.36377    
527.0000      	18975.3321    	4092.36353    
527.5000      	18957.3460    	3732.27271    
528.0000      	18939.3939    	4050.81812    
528.5000      	18921.4759    	4229.36377    
529.0000      	18903.5917    	3889.72729    
529.5000      	18885.7413    	3952.09082    
530.0000      	18867.9245    	3788.27271    
530.5000      	18850.1414    	3608.72729    
531.0000      	18832.3917    	3900.72729    
531.5000      	18814.6754    	3706.09082    
532.0000      	18796.9925    	3775.00000    
532.5000      	18779.3427    	3557.36353    
533.0000      	18761.7261    	3515.36353    
533.5000      	18744.1425    	3421.27271    
534.0000      	18726.5918    	3540.72729    
534.5000      	18709.0739    	3334.27271    
535.0000      	18691.5888    	3570.00000    
535.5000      	18674.1363    	3208.27271    
536.0000      	18656.7164    	3458.54541    
536.5000      	18639.3290    	3228.27271    
537.0000      	18621.9739    	3218.63647    
537.5000      	18604.6512    	3220.72729    
538.0000      	18587.3606    	3127.09082    
538.5000      	18570.1021    	3069.36353    
539.0000      	18552.8757    	3088.18188    
539.5000      	18535.6812    	3187.18188    
540.0000      	18518.5185    	2835.18188    
540.5000      	18501.3876    	2925.54541    
541.0000      	18484.2884    	3122.81812    
541.5000      	18467.2207    	2976.63647    
542.0000      	18450.1845    	3092.00000    
542.5000      	18433.1797    	2723.72729    
543.0000      	18416.2063    	2996.45459    
543.5000      	18399.2640    	3013.27271    
544.0000      	18382.3529    	2812.81812    
544.5000      	18365.4729    	2718.00000    
545.0000      	18348.6239    	3069.54541    
545.5000      	18331.8057    	2837.54541    
546.0000      	18315.0183    	3090.00000    
546.5000      	18298.2617    	2757.45459    
547.0000      	18281.5356    	2748.90918    
547.5000      	18264.8402    	2786.90918    
548.0000      	18248.1752    	2817.45459    
548.5000      	18231.5406    	2627.00000    
549.0000      	18214.9362    	2841.72729    
549.5000      	18198.3621    	2905.00000    
550.0000      	18181.8182    	2672.54541    
550.5000      	18165.3043    	2781.00000    
551.0000      	18148.8203    	2441.54541    
551.5000      	18132.3663    	2684.90918    
552.0000      	18115.9420    	2521.54541    
552.5000      	18099.5475    	2581.09082    
553.0000      	18083.1826    	2455.09082    
553.5000      	18066.8473    	3150.09082    
554.0000      	18050.5415    	2862.90918    
554.5000      	18034.2651    	2685.90918    
555.0000      	18018.0180    	2459.18188    
555.5000      	18001.8002    	2500.72729    
556.0000      	17985.6115    	2414.09082    
556.5000      	17969.4519    	2414.18188    
557.0000      	17953.3214    	2520.72729    
557.5000      	17937.2197    	2567.18188    
558.0000      	17921.1470    	2584.54541    
558.5000      	17905.1030    	2559.27271    
559.0000      	17889.0877    	2611.45459    
559.5000      	17873.1010    	2952.09082    
560.0000      	17857.1429    	2769.90918    
560.5000      	17841.2132    	2542.63647    
561.0000      	17825.3119    	2773.36353    
561.5000      	17809.4390    	2328.54541    
562.0000      	17793.5943    	2709.27271    
562.5000      	17777.7778    	2699.27271    
563.0000      	17761.9893    	2608.63647    
563.5000      	17746.2289    	2381.00000    
564.0000      	17730.4965    	2732.81812    
564.5000      	17714.7919    	2662.27271    
565.0000      	17699.1150    	2381.18188    
565.5000      	17683.4660    	2313.27271    
566.0000      	17667.8445    	2772.90918    
566.5000      	17652.2507    	2421.45459    
567.0000      	17636.6843    	2441.36353    
567.5000      	17621.1454    	2455.09082    
568.0000      	17605.6338    	2551.81812    
568.5000      	17590.1495    	2431.27271    
569.0000      	17574.6924    	2586.72729    
569.5000      	17559.2625    	2517.63647    
570.0000      	17543.8596    	2441.54541    
570.5000      	17528.4838    	2313.72729    
571.0000      	17513.1349    	2532.63647    
571.5000      	17497.8128    	2730.72729    
572.0000      	17482.5175    	2435.45459    
572.5000      	17467.2489    	2887.72729    
573.0000      	17452.0070    	2310.36353    
573.5000      	17436.7916    	2613.63647    
574.0000      	17421.6028    	2453.09082    
574.5000      	17406.4404    	2443.72729    
575.0000      	17391.3043    	2503.00000    
575.5000      	17376.1946    	2499.63647    
576.0000      	17361.1111    	2568.27271    
576.5000      	17346.0538    	2392.90918    
577.0000      	17331.0225    	2373.81812    
577.5000      	17316.0173    	2316.00000    
578.0000      	17301.0381    	2572.36353    
578.5000      	17286.0847    	2505.90918    
579.0000      	17271.1572    	2679.00000    
579.5000      	17256.2554    	2462.72729    
580.0000      	17241.3793    	3326.45459    
580.5000      	17226.5289    	2765.18188    
